Cell Type,Count
Descending Thin Limb Type 2,5
Descending Thin Limb Type 1,10
Descending Thin Limb Type 3,15
Medullary Fibroblast,31
Ascending Thin Limb,23
Monocyte-derived,2
Plasma,1
T,1
Natural Killer / Natural Killer T,1
Inner Medullary Collecting Duct,51
Cortical Collecting Duct Principal,8
Outer Medullary Collecting Duct Principal,4
Peritubular Capilary Endothelial ,2
Ascending Vasa Recta Endothelial,4
Descending Vasa Recta Endothelial ,3
Cortical Collecting Duct Intercalated Type A,1
Intercalated Type B,1
Connecting Tubule,1
Vascular Smooth Muscle / Pericyte,2
Papillary Tip Epithelial,1
