Cell Type,Count
Ascending Vasa Recta Endothelial,126
Descending Vasa Recta Endothelial ,71
Peritubular Capilary Endothelial ,42
Lymphatic Endothelial,6
Glomerular Capillary Endothelial,4
Afferent / Efferent Arteriole Endothelial,4
Descending Thin Limb Type 1,296
Descending Thin Limb Type 2,94
Descending Thin Limb Type 3,4
Medullary Fibroblast,226
Fibroblast,1
Medullary Thick Ascending Limb,709
Cortical Thick Ascending Limb,139
Macula Densa,1
Outer Medullary Collecting Duct Intercalated Type A,52
Intercalated Type B,2
Cortical Collecting Duct Intercalated Type A,5
Tissue-resident Macrophage,70
Monocyte-derived,17
Natural Killer / Natural Killer T,4
T,14
Cycling Mononuclear Phagocyte,1
Plasma,1
Classical Dendritic,1
Monocyte,3
Connecting Tubule Principal,5
Connecting Tubule,1
Outer Medullary Collecting Duct Principal,17
Cortical Collecting Duct Principal,1
Inner Medullary Collecting Duct,1
Vascular Smooth Muscle / Pericyte,18
Papillary Tip Epithelial,1
Proximal Tubule Epithelial Segment 3,3
Podocyte,5
Parietal Epithelial,2
Distal Convoluted Tubule Type 1,1
Ascending Thin Limb,1
