Cell Type,Count
Medullary Thick Ascending Limb,284
Cortical Thick Ascending Limb,75
Macula Densa,1
Descending Thin Limb Type 3,16
Descending Thin Limb Type 2,42
Descending Thin Limb Type 1,105
Outer Medullary Collecting Duct Principal,135
Inner Medullary Collecting Duct,4
Cortical Collecting Duct Principal,4
Medullary Fibroblast,106
Fibroblast,20
Proximal Tubule Epithelial Segment 3,36
Proximal Tubule Epithelial Segment 1,7
Outer Medullary Collecting Duct Intercalated Type A,17
Cortical Collecting Duct Intercalated Type A,3
Connecting Tubule Intercalated Type A,1
Ascending Vasa Recta Endothelial,72
Peritubular Capilary Endothelial ,21
Descending Vasa Recta Endothelial ,67
Afferent / Efferent Arteriole Endothelial,10
Glomerular Capillary Endothelial,2
Lymphatic Endothelial,3
Schwann / Neural,1
Vascular Smooth Muscle / Pericyte,29
Cortical Vascular Smooth Muscle / Pericyte,4
T,6
Tissue-resident Macrophage,22
B,2
Monocyte-derived,6
Mast,4
Plasma,3
Cycling Mononuclear Phagocyte,2
Neutrophil,1
Monocyte,1
Connecting Tubule,6
Connecting Tubule Principal,2
Ascending Thin Limb,6
Distal Convoluted Tubule Type 1,2
