Cell Type,Count
Proximal Tubule Epithelial Segment 1,491
Proximal Tubule Epithelial Segment 2,146
Proximal Tubule Epithelial Segment 3,19
Distal Convoluted Tubule Type 1,379
Distal Convoluted Tubule Type 2,12
Connecting Tubule,112
Connecting Tubule Principal,93
Cortical Collecting Duct Principal,17
Outer Medullary Collecting Duct Principal,1
Afferent / Efferent Arteriole Endothelial,3
Peritubular Capilary Endothelial ,63
Descending Vasa Recta Endothelial ,1
Ascending Vasa Recta Endothelial,1
Glomerular Capillary Endothelial,3
Macula Densa,4
Cortical Thick Ascending Limb,36
Medullary Thick Ascending Limb,1
Intercalated Type B,19
Cortical Collecting Duct Intercalated Type A,138
Connecting Tubule Intercalated Type A,2
Parietal Epithelial,30
Monocyte,2
Tissue-resident Macrophage,5
T,5
Natural Killer / Natural Killer T,2
Monocyte-derived,2
Cortical Vascular Smooth Muscle / Pericyte,3
Vascular Smooth Muscle / Pericyte,4
Podocyte,6
Fibroblast,6
