Cell Type,Count
Connecting Tubule,9
Connecting Tubule Principal,3
Descending Thin Limb Type 3,56
Descending Thin Limb Type 1,55
Descending Thin Limb Type 2,16
Ascending Vasa Recta Endothelial,51
Peritubular Capilary Endothelial ,23
Descending Vasa Recta Endothelial ,25
Afferent / Efferent Arteriole Endothelial,5
Lymphatic Endothelial,2
Mast,19
Plasma,3
T,27
Tissue-resident Macrophage,11
Monocyte-derived,11
Neutrophil,3
Natural Killer / Natural Killer T,4
Monocyte,1
Classical Dendritic,1
Medullary Fibroblast,88
Fibroblast,1
Inner Medullary Collecting Duct,144
Outer Medullary Collecting Duct Principal,45
Cortical Collecting Duct Principal,11
Ascending Thin Limb,26
Papillary Tip Epithelial,28
Vascular Smooth Muscle / Pericyte,22
Renin-positive Juxtaglomerular Granular,1
Cortical Thick Ascending Limb,2
Macula Densa,1
Medullary Thick Ascending Limb,3
Distal Convoluted Tubule Type 1,2
