Cell Type,Count
Podocyte,167
Fibroblast,677
Medullary Fibroblast,2
Proximal Tubule Epithelial Segment 1,153
Proximal Tubule Epithelial Segment 2,75
Proximal Tubule Epithelial Segment 3,59
Distal Convoluted Tubule Type 1,318
Distal Convoluted Tubule Type 2,19
Vascular Smooth Muscle / Pericyte,288
Cortical Vascular Smooth Muscle / Pericyte,117
Mesangial,61
Renin-positive Juxtaglomerular Granular,8
Connecting Tubule,332
Connecting Tubule Principal,82
T,194
Monocyte-derived,115
Tissue-resident Macrophage,198
Natural Killer / Natural Killer T,65
Monocyte,46
Classical Dendritic,5
Plasma,3
Plasmacytoid Dendritic,1
B,13
Neutrophil,3
Mast,8
Cycling Mononuclear Phagocyte,2
Peritubular Capilary Endothelial ,632
Glomerular Capillary Endothelial,249
Ascending Vasa Recta Endothelial,5
Afferent / Efferent Arteriole Endothelial,32
Descending Vasa Recta Endothelial ,27
Lymphatic Endothelial,3
Macula Densa,62
Cortical Thick Ascending Limb,88
Medullary Thick Ascending Limb,2
Cortical Collecting Duct Intercalated Type A,296
Connecting Tubule Intercalated Type A,13
Intercalated Type B,80
Outer Medullary Collecting Duct Intercalated Type A,4
Cortical Collecting Duct Principal,70
Parietal Epithelial,129
Descending Thin Limb Type 2,3
Schwann / Neural,2
