Cell Type,Count
Peritubular Capilary Endothelial ,126
Glomerular Capillary Endothelial,62
Descending Vasa Recta Endothelial ,2
Afferent / Efferent Arteriole Endothelial,6
Lymphatic Endothelial,1
Distal Convoluted Tubule Type 2,52
Distal Convoluted Tubule Type 1,696
Proximal Tubule Epithelial Segment 3,265
Proximal Tubule Epithelial Segment 1,653
Proximal Tubule Epithelial Segment 2,195
Cortical Thick Ascending Limb,371
Macula Densa,21
Medullary Thick Ascending Limb,3
Connecting Tubule Principal,123
Connecting Tubule,198
Natural Killer / Natural Killer T,12
Plasmacytoid Dendritic,1
Tissue-resident Macrophage,39
B,3
Monocyte-derived,26
T,34
Monocyte,2
Mast,1
Plasma,3
Neutrophil,2
Intercalated Type B,111
Cortical Collecting Duct Intercalated Type A,228
Connecting Tubule Intercalated Type A,4
Outer Medullary Collecting Duct Intercalated Type A,2
Parietal Epithelial,95
Cortical Collecting Duct Principal,96
Fibroblast,49
Cortical Vascular Smooth Muscle / Pericyte,6
Renin-positive Juxtaglomerular Granular,3
Vascular Smooth Muscle / Pericyte,7
Mesangial,7
Podocyte,88
Schwann / Neural,1
