Cell Type,Count
Ascending Vasa Recta Endothelial,2527
Glomerular Capillary Endothelial,1041
Lymphatic Endothelial,123
Ascending Thin Limb,1765
B,331
Classical Dendritic,57
Cycling Mononuclear Phagocyte,47
Mast,109
Monocyte-derived,803
Neutrophil,58
Plasma,98
Plasmacytoid Dendritic,31
T,1341
Connecting Tubule,3138
Connecting Tubule Principal,957
Connecting Tubule Intercalated Type A,83
Cortical Collecting Duct Intercalated Type A,2661
Intercalated Type B,768
Outer Medullary Collecting Duct Intercalated Type A,933
Intercalated,4362
Cortical Collecting Duct Principal,2281
Inner Medullary Collecting Duct,4095
Outer Medullary Collecting Duct Principal,894
Cortical Thick Ascending Limb,4205
Macula Densa,1045
Medullary Thick Ascending Limb,4160
Thick Ascending Limb,9410
Cortical Vascular Smooth Muscle / Pericyte,457
Mesangial,200
Renin-positive Juxtaglomerular Granular,34
Vascular Smooth Muscle / Pericyte,1894
Descending Thin Limb Type 1,1524
Descending Thin Limb Type 2,901
Descending Thin Limb Type 3,1392
Descending Thin Limb,3817
Distal Convoluted Tubule Type 1,3440
Distal Convoluted Tubule Type 2,278
Fibroblast,6438
Medullary Fibroblast,4587
Papillary Tip Epithelial,322
Parietal Epithelial,527
Podocyte,1028
Proximal Tubule Epithelial Segment 1,4407
Proximal Tubule Epithelial Segment 2,1355
Proximal Tubule Epithelial Segment 3,2068
Schwann / Neural,35
