Cell Type,Count
Ascending Vasa Recta Endothelial,202
Peritubular Capilary Endothelial ,47
Descending Vasa Recta Endothelial ,129
Lymphatic Endothelial,6
Glomerular Capillary Endothelial,14
Afferent / Efferent Arteriole Endothelial,14
Medullary Fibroblast,141
Fibroblast,17
Cortical Collecting Duct Principal,184
Inner Medullary Collecting Duct,6
Outer Medullary Collecting Duct Principal,7
Medullary Thick Ascending Limb,264
Cortical Thick Ascending Limb,161
Macula Densa,1
Monocyte-derived,8
Tissue-resident Macrophage,18
Natural Killer / Natural Killer T,6
Neutrophil,2
T,14
Monocyte,2
Plasma,6
Plasmacytoid Dendritic,1
Descending Thin Limb Type 1,203
Descending Thin Limb Type 2,40
Descending Thin Limb Type 3,45
Ascending Thin Limb,52
Proximal Tubule Epithelial Segment 1,112
Proximal Tubule Epithelial Segment 3,63
Outer Medullary Collecting Duct Intercalated Type A,170
Intercalated Type B,5
Cortical Collecting Duct Intercalated Type A,12
Podocyte,22
Schwann / Neural,1
Vascular Smooth Muscle / Pericyte,58
Cortical Vascular Smooth Muscle / Pericyte,16
Mesangial,3
Distal Convoluted Tubule Type 1,15
Distal Convoluted Tubule Type 2,1
Connecting Tubule Principal,11
Connecting Tubule,7
Parietal Epithelial,5
