Cell Type,Count
Connecting Tubule,199
Connecting Tubule Principal,161
Proximal Tubule Epithelial Segment 1,633
Proximal Tubule Epithelial Segment 3,227
Proximal Tubule Epithelial Segment 2,89
Cortical Collecting Duct Intercalated Type A,289
Connecting Tubule Intercalated Type A,2
Intercalated Type B,168
Distal Convoluted Tubule Type 1,343
Distal Convoluted Tubule Type 2,12
Parietal Epithelial,45
T,253
Mast,26
Natural Killer / Natural Killer T,16
Tissue-resident Macrophage,97
B,48
Monocyte-derived,51
Plasma,15
Classical Dendritic,12
Plasmacytoid Dendritic,11
Cycling Mononuclear Phagocyte,3
Monocyte,4
Cortical Thick Ascending Limb,227
Macula Densa,79
Medullary Thick Ascending Limb,1
Vascular Smooth Muscle / Pericyte,18
Mesangial,13
Cortical Vascular Smooth Muscle / Pericyte,8
Cortical Collecting Duct Principal,284
Inner Medullary Collecting Duct,4
Outer Medullary Collecting Duct Principal,2
Fibroblast,86
Peritubular Capilary Endothelial ,159
Glomerular Capillary Endothelial,87
Lymphatic Endothelial,24
Afferent / Efferent Arteriole Endothelial,7
Descending Vasa Recta Endothelial ,3
Papillary Tip Epithelial,1
Podocyte,93
Descending Thin Limb Type 1,5
Descending Thin Limb Type 2,2
Schwann / Neural,4
